Models,Expression.only.CV.cor,Multiomics.CV.cor
NBAS,0.384830204,0.428518957
TRA2B,0.425763784,0.428005098
TFIP11,0.390750199,0.427817952
ZEB1,0.446422585,0.427742177
IRF2BP2,0.445154738,0.427349718
DHX38,0.42708167,0.427330563
MED12,0.447640364,0.4272658
ARHGAP29,0.455720263,0.427053943
SHOC2,0.287779178,0.426684433
TERF1,0.444163082,0.426308767
UBE2G2,0.405106098,0.42628336
TGIF1,0.412766257,0.426269052
NR2C2AP,0.409891587,0.4250248
NOM1,0.386388949,0.424819281
EMC6,0.418012582,0.424059703
PYROXD1,0.400331074,0.423983522
CEP192,0.401577309,0.423839335
CRK,0.435715207,0.423033436
VHL,0.421484331,0.422996485
TIPARP,0.455722704,0.422704031
ATXN10,0.390823362,0.422584338
ATL2,0.429062628,0.422466963
GMPPB,0.427990878,0.422361603
DDX31,0.381023177,0.422135552
BRAT1,0.414702093,0.421704413
CUL2,0.372308834,0.421389725
CDC40,0.423257216,0.421350482
NAF1,0.267692868,0.421047558
STRIP1,0.424653926,0.420786451
NSMCE3,0.252752073,0.41957572
IGF2BP1,0.407305025,0.419549725
UBE2Q1,0.378338085,0.419492446
ZNHIT3,0.41961518,0.419264974
BCL2L1,0.451772313,0.419156152
MARCH5,0.458166223,0.418888579
NEUROD1,0.433808115,0.41874131
MRPS14,0.39707531,0.418132322
EXOC8,0.347333892,0.418003473
AHCYL1,0.450992151,0.417987183
MOB4,0.400597268,0.417555663
PIK3C3,0.389169186,0.417485878
LDLRAP1,0.39739104,0.417299968
FOXA2,0.429614299,0.416702737
ATP2C1,0.412372277,0.416534713
ZC3H13,0.428310442,0.416484396
CHCHD3,0.362531159,0.4161645
FBXO7,0.435107313,0.416124543
RELA,0.361228784,0.415382195
PRKCI,0.444743592,0.415341544
TBL1XR1,0.405346998,0.414193405
HAND2,0.408851167,0.41405443
SRRT,0.348781799,0.413903155
WDR46,0.406060942,0.413660304
PRPF18,0.380877611,0.413593463
IREB2,0.438721636,0.413268769
CDX2,0.360504356,0.413232891
UTP23,0.390019451,0.412955183
TRMT6,0.436094178,0.412802125
HSPA13,0.406867929,0.412432156
CEP350,0.358495836,0.412253622
UBA6,0.420772293,0.411969663
SEPSECS,0.459856163,0.411921113
UBA52,0.412164439,0.411849083
LIMS1,0.423513292,0.411740868
PFDN5,0.421319012,0.411734627
VPS26A,0.401747831,0.411513677
ACLY,0.406323444,0.411508817
ANKRD36B,0.211591183,0.411492116
C18orf21,0.375916937,0.411297246
PDCL,0.377821928,0.411281767
ARPC4,0.386585195,0.410585378
MECOM,0.487793675,0.409954935
RPS21,0.441772905,0.409872988
FDPS,0.42435568,0.409776249
DPM1,0.442874897,0.409510772
TLN1,0.430851981,0.409460638
